inspection_id,receipt_id,inspection_date,inspector_name,defect_rate_pct,defect_type,inspection_result,remarks
QI000235,GR000235,2024-09-04,A. Patel,28.04,Functional,Fail,Quality below acceptable standards. Return to supplier.
QI000236,GR000236,2024-08-30,J. Smith,27.72,Dimensional,Fail,Critical defects found. Full batch inspection required.
QI000237,GR000237,2024-08-13,K. Nguyen,6.93,Other,Conditional,Accepted with minor deviations. Supplier warned.
QI000238,GR000238,2024-08-28,R. Sharma,1.98,,Pass,
QI000239,GR000239,2024-09-12,T. Yamamoto,6.62,Functional,Conditional,Partial rework needed before use.
QI000240,GR000240,2024-09-06,K. Nguyen,6.33,Missing,Conditional,Accepted with minor deviations. Supplier warned.
QI000241,GR000241,2024-09-23,A. Patel,7.76,Surface,Conditional,Partial rework needed before use.
QI000242,GR000242,2024-09-06,S. Tanaka,1.21,,Pass,
QI000243,GR000243,2024-09-08,J. Smith,3.61,Other,Pass,
QI000244,GR000244,2024-09-11,P. Kumar,1.18,,Pass,
QI000245,GR000245,2024-10-01,L. Chen,7.1,Dimensional,Conditional,Accepted for non-critical applications only.
QI000246,GR000246,2024-09-21,R. Sharma,6.06,Surface,Conditional,Accepted with minor deviations. Supplier warned.
QI000247,GR000247,2024-09-20,A. Patel,2.56,Dimensional,Pass,
QI000248,GR000248,2024-10-02,P. Kumar,4.25,Other,Pass,
QI000249,GR000249,2024-09-18,P. Kumar,5.22,Dimensional,Conditional,Partial rework needed before use.
QI000250,GR000250,2024-09-22,D. Müller,7.32,Functional,Conditional,Accepted for non-critical applications only.
QI000251,GR000251,2024-10-10,P. Kumar,25.36,Dimensional,Fail,Non-conformance report raised. Supplier notified.
QI000252,GR000252,2024-09-28,K. Nguyen,1.72,,Pass,
QI000253,GR000253,2024-10-06,M. Weber,1.91,,Pass,
QI000254,GR000254,2024-09-22,T. Yamamoto,6.2,Missing,Conditional,Partial rework needed before use.
QI000255,GR000255,2024-09-24,J. Smith,2.58,Functional,Pass,
QI000256,GR000256,2024-10-08,D. Müller,4.24,Other,Pass,
QI000257,GR000257,2024-10-07,J. Smith,7.19,Functional,Conditional,Partial rework needed before use.
QI000258,GR000258,2024-10-10,R. Sharma,5.06,Missing,Conditional,Accepted for non-critical applications only.
QI000259,GR000259,2024-11-03,R. Sharma,7.86,Surface,Conditional,Accepted for non-critical applications only.
QI000260,GR000260,2024-10-13,R. Sharma,2.66,Functional,Pass,
QI000261,GR000261,2024-10-18,T. Yamamoto,4.39,Surface,Pass,
QI000262,GR000262,2024-10-09,D. Müller,7.95,Other,Conditional,Partial rework needed before use.
QI000263,GR000263,2024-10-12,J. Smith,6.21,Other,Conditional,Partial rework needed before use.
QI000264,GR000264,2024-10-19,D. Müller,2.3,Missing,Pass,
QI000265,GR000265,2024-11-09,A. Patel,19.16,Other,Fail,Critical defects found. Full batch inspection required.
QI000266,GR000266,2024-11-04,K. Nguyen,3.99,Other,Pass,
QI000267,GR000267,2024-11-06,S. Tanaka,7.83,Dimensional,Conditional,Accepted for non-critical applications only.
QI000268,GR000268,2024-11-05,L. Chen,0.76,,Pass,
QI000269,GR000269,2024-11-05,D. Müller,7.58,Surface,Conditional,Partial rework needed before use.
QI000270,GR000270,2024-11-19,J. Smith,6.88,Dimensional,Conditional,Accepted with minor deviations. Supplier warned.
QI000271,GR000271,2024-11-13,R. Sharma,6.46,Other,Conditional,Accepted for non-critical applications only.
QI000272,GR000272,2024-12-07,J. Smith,22.35,Other,Fail,Quality below acceptable standards. Return to supplier.
QI000273,GR000273,2024-11-30,K. Nguyen,5.76,Other,Conditional,Accepted with minor deviations. Supplier warned.
QI000274,GR000274,2024-12-31,R. Sharma,29.46,Surface,Fail,Critical defects found. Full batch inspection required.
QI000275,GR000275,2024-12-15,L. Chen,7.64,Missing,Conditional,Accepted for non-critical applications only.
QI000276,GR000276,2024-12-20,R. Sharma,4.28,Functional,Pass,
QI000277,GR000277,2024-12-17,T. Yamamoto,5.96,Functional,Conditional,Accepted with minor deviations. Supplier warned.
QI000278,GR000278,2024-12-21,K. Nguyen,5.74,Dimensional,Conditional,Partial rework needed before use.
QI000279,GR000279,2024-12-26,L. Chen,6.76,Missing,Conditional,Accepted with minor deviations. Supplier warned.
QI000280,GR000280,2025-01-03,M. Weber,2.35,Dimensional,Pass,
QI000281,GR000281,2024-12-28,T. Yamamoto,2.93,Dimensional,Pass,
QI000282,GR000282,2025-01-02,S. Tanaka,2.06,Surface,Pass,
QI000283,GR000283,2025-01-03,D. Müller,1.08,,Pass,
QI000284,GR000284,2025-01-06,T. Yamamoto,1.72,,Pass,
QI000285,GR000285,2025-01-04,T. Yamamoto,5.62,Dimensional,Conditional,Accepted for non-critical applications only.
QI000286,GR000286,2024-12-29,J. Smith,1.49,,Pass,
QI000287,GR000287,2025-01-16,A. Patel,7.65,Missing,Conditional,Partial rework needed before use.
QI000288,GR000288,2025-01-11,S. Tanaka,3.98,Missing,Pass,
QI000289,GR000289,2025-01-20,T. Yamamoto,4.77,Dimensional,Pass,
QI000290,GR000290,2025-01-28,L. Chen,7.06,Missing,Conditional,Accepted for non-critical applications only.
QI000291,GR000291,2025-02-05,D. Müller,25.66,Functional,Fail,Critical defects found. Full batch inspection required.
QI000292,GR000292,2025-01-24,R. Sharma,5.67,Functional,Conditional,Accepted with minor deviations. Supplier warned.
QI000293,GR000293,2025-02-03,M. Weber,6.64,Other,Conditional,Partial rework needed before use.
QI000294,GR000294,2025-02-02,T. Yamamoto,5.66,Missing,Conditional,Accepted for non-critical applications only.
QI000295,GR000295,2025-02-11,R. Sharma,3.63,Missing,Pass,
QI000296,GR000296,2025-02-15,A. Patel,5.13,Dimensional,Conditional,Accepted for non-critical applications only.
QI000297,GR000297,2025-02-15,L. Chen,27.17,Other,Fail,Non-conformance report raised. Supplier notified.
QI000298,GR000298,2025-02-04,P. Kumar,1.28,,Pass,
QI000299,GR000299,2025-02-24,L. Chen,5.01,Dimensional,Conditional,Partial rework needed before use.
QI000300,GR000300,2025-02-17,K. Nguyen,1.18,,Pass,
QI000301,GR000301,2025-02-11,R. Sharma,7.62,Functional,Conditional,Partial rework needed before use.
QI000302,GR000302,2025-02-23,J. Smith,6.95,Functional,Conditional,Accepted for non-critical applications only.
QI000303,GR000303,2025-02-28,J. Smith,7.76,Missing,Conditional,Accepted with minor deviations. Supplier warned.
QI000304,GR000304,2025-03-10,D. Müller,7.94,Surface,Conditional,Accepted with minor deviations. Supplier warned.
QI000305,GR000305,2025-03-04,J. Smith,4.83,Missing,Pass,
QI000306,GR000306,2025-02-24,J. Smith,2.2,Dimensional,Pass,
QI000307,GR000307,2025-03-03,S. Tanaka,4.77,Functional,Pass,
QI000308,GR000308,2025-03-11,T. Yamamoto,6.05,Missing,Conditional,Partial rework needed before use.
QI000309,GR000309,2025-03-15,S. Tanaka,2.3,Surface,Pass,
QI000310,GR000310,2025-02-26,J. Smith,4.4,Missing,Pass,
QI000311,GR000311,2025-03-14,M. Weber,7.72,Dimensional,Conditional,Accepted with minor deviations. Supplier warned.
QI000312,GR000312,2025-03-28,D. Müller,7.36,Other,Conditional,Partial rework needed before use.
QI000313,GR000313,2025-04-12,M. Weber,3.79,Dimensional,Pass,
QI000314,GR000314,2025-04-12,K. Nguyen,5.98,Missing,Conditional,Partial rework needed before use.
QI000315,GR000315,2025-04-09,A. Patel,24.39,Surface,Fail,Non-conformance report raised. Supplier notified.
QI000316,GR000316,2025-04-01,A. Patel,6.15,Other,Conditional,Accepted for non-critical applications only.
QI000317,GR000317,2025-04-13,D. Müller,2.57,Surface,Pass,
QI000318,GR000318,2025-04-08,P. Kumar,4.15,Dimensional,Pass,
QI000319,GR000319,2025-04-17,P. Kumar,5.87,Surface,Conditional,Accepted with minor deviations. Supplier warned.
QI000320,GR000320,2025-04-23,M. Weber,2.51,Functional,Pass,
QI000321,GR000321,2025-04-20,D. Müller,7.0,Missing,Conditional,Partial rework needed before use.
QI000322,GR000322,2025-04-22,D. Müller,4.98,Surface,Pass,
QI000323,GR000323,2025-05-03,J. Smith,5.39,Functional,Conditional,Accepted for non-critical applications only.
QI000324,GR000324,2025-05-06,M. Weber,2.84,Functional,Pass,
QI000325,GR000325,2025-04-25,J. Smith,3.5,Surface,Pass,
QI000326,GR000326,2025-05-02,K. Nguyen,7.9,Other,Conditional,Accepted for non-critical applications only.
QI000327,GR000327,2025-05-08,P. Kumar,1.84,,Pass,
QI000328,GR000328,2025-05-06,M. Weber,1.73,,Pass,
QI000329,GR000329,2025-05-26,P. Kumar,6.02,Other,Conditional,Accepted with minor deviations. Supplier warned.
QI000330,GR000330,2025-05-13,P. Kumar,6.86,Other,Conditional,Partial rework needed before use.
QI000331,GR000331,2025-05-29,R. Sharma,1.45,,Pass,
QI000332,GR000332,2025-05-23,J. Smith,1.16,,Pass,
QI000333,GR000333,2025-05-23,S. Tanaka,5.94,Functional,Conditional,Accepted with minor deviations. Supplier warned.
QI000334,GR000334,2025-05-22,T. Yamamoto,4.51,Dimensional,Pass,
QI000335,GR000335,2025-05-27,P. Kumar,5.93,Missing,Conditional,Accepted with minor deviations. Supplier warned.
QI000336,GR000336,2025-05-21,T. Yamamoto,5.88,Functional,Conditional,Accepted with minor deviations. Supplier warned.
QI000337,GR000337,2025-05-24,D. Müller,4.56,Surface,Pass,
QI000338,GR000338,2025-05-17,J. Smith,5.11,Other,Conditional,Accepted with minor deviations. Supplier warned.
QI000339,GR000339,2025-06-01,D. Müller,6.42,Other,Conditional,Accepted with minor deviations. Supplier warned.
QI000340,GR000340,2025-05-22,T. Yamamoto,2.13,Surface,Pass,
QI000341,GR000341,2025-05-29,P. Kumar,7.93,Dimensional,Conditional,Accepted for non-critical applications only.
QI000342,GR000342,2025-06-06,L. Chen,0.73,,Pass,
QI000343,GR000343,2025-06-10,L. Chen,1.9,,Pass,
QI000344,GR000344,2025-06-25,S. Tanaka,23.69,Surface,Fail,Batch rejected due to high defect rate.
QI000345,GR000345,2025-06-05,K. Nguyen,5.95,Missing,Conditional,Accepted with minor deviations. Supplier warned.
QI000346,GR000346,2025-06-11,A. Patel,0.48,,Pass,
QI000347,GR000347,2025-06-17,T. Yamamoto,6.26,Functional,Conditional,Accepted with minor deviations. Supplier warned.
QI000348,GR000348,2025-06-20,A. Patel,4.9,Functional,Pass,
QI000349,GR000349,2025-06-25,J. Smith,7.75,Dimensional,Conditional,Accepted with minor deviations. Supplier warned.
QI000350,GR000350,2025-06-23,T. Yamamoto,1.19,,Pass,
QI000351,GR000351,2025-06-26,M. Weber,3.88,Surface,Pass,
QI000352,GR000352,2025-08-04,A. Patel,23.98,Surface,Fail,Critical defects found. Full batch inspection required.
QI000353,GR000353,2025-07-18,K. Nguyen,7.39,Functional,Conditional,Accepted for non-critical applications only.
QI000354,GR000354,2025-07-02,P. Kumar,5.94,Other,Conditional,Accepted with minor deviations. Supplier warned.
QI000355,GR000355,2025-07-11,A. Patel,1.27,,Pass,
QI000356,GR000356,2025-06-27,J. Smith,3.18,Dimensional,Pass,
QI000357,GR000357,2025-07-20,M. Weber,5.13,Dimensional,Conditional,Partial rework needed before use.
QI000358,GR000358,2025-07-10,D. Müller,7.98,Missing,Conditional,Accepted for non-critical applications only.
QI000359,GR000359,2025-07-15,D. Müller,1.59,,Pass,
QI000360,GR000360,2025-07-05,P. Kumar,2.72,Surface,Pass,
QI000361,GR000361,2025-07-08,P. Kumar,3.83,Dimensional,Pass,
QI000362,GR000362,2025-07-15,D. Müller,7.37,Other,Conditional,Accepted with minor deviations. Supplier warned.
QI000363,GR000363,2025-07-17,D. Müller,5.58,Other,Conditional,Accepted for non-critical applications only.
QI000364,GR000364,2025-07-21,J. Smith,6.3,Surface,Conditional,Partial rework needed before use.
QI000365,GR000365,2025-07-25,L. Chen,6.34,Missing,Conditional,Partial rework needed before use.
QI000366,GR000366,2025-07-29,J. Smith,4.43,Dimensional,Pass,
QI000367,GR000367,2025-08-09,R. Sharma,25.32,Missing,Fail,Critical defects found. Full batch inspection required.
QI000368,GR000368,2025-07-27,S. Tanaka,1.29,,Pass,
QI000369,GR000369,2025-08-12,J. Smith,6.23,Other,Conditional,Accepted with minor deviations. Supplier warned.
QI000370,GR000370,2025-08-13,L. Chen,4.74,Functional,Pass,
QI000371,GR000371,2025-08-01,D. Müller,7.75,Missing,Conditional,Accepted for non-critical applications only.
QI000372,GR000372,2025-08-03,M. Weber,2.25,Dimensional,Pass,
QI000373,GR000373,2025-07-28,M. Weber,7.65,Functional,Conditional,Accepted with minor deviations. Supplier warned.
QI000374,GR000374,2025-08-05,L. Chen,24.85,Dimensional,Fail,Batch rejected due to high defect rate.
QI000375,GR000375,2025-08-01,J. Smith,5.83,Dimensional,Conditional,Accepted with minor deviations. Supplier warned.
QI000376,GR000376,2025-08-17,R. Sharma,7.91,Functional,Conditional,Partial rework needed before use.
QI000377,GR000377,2025-08-08,T. Yamamoto,5.19,Functional,Conditional,Partial rework needed before use.
QI000378,GR000378,2025-08-26,S. Tanaka,7.31,Surface,Conditional,Accepted for non-critical applications only.
QI000379,GR000379,2025-08-16,L. Chen,1.07,,Pass,
QI000380,GR000380,2025-09-05,L. Chen,28.81,Functional,Fail,Batch rejected due to high defect rate.
QI000381,GR000381,2025-08-30,A. Patel,6.37,Surface,Conditional,Accepted with minor deviations. Supplier warned.
QI000382,GR000382,2025-08-24,D. Müller,7.32,Dimensional,Conditional,Accepted with minor deviations. Supplier warned.
QI000383,GR000383,2025-08-22,D. Müller,7.6,Missing,Conditional,Partial rework needed before use.
QI000384,GR000384,2025-08-21,L. Chen,6.99,Dimensional,Conditional,Accepted with minor deviations. Supplier warned.
QI000385,GR000385,2025-08-15,M. Weber,7.19,Other,Conditional,Partial rework needed before use.
QI000386,GR000386,2025-09-15,A. Patel,7.97,Missing,Conditional,Accepted with minor deviations. Supplier warned.
QI000387,GR000387,2025-08-27,A. Patel,3.12,Surface,Pass,
QI000388,GR000388,2025-09-18,J. Smith,6.64,Missing,Conditional,Accepted for non-critical applications only.
QI000389,GR000389,2025-09-13,R. Sharma,2.0,,Pass,
QI000390,GR000390,2025-09-24,R. Sharma,24.04,Surface,Fail,Critical defects found. Full batch inspection required.
QI000391,GR000391,2025-08-24,J. Smith,7.64,Functional,Conditional,Accepted with minor deviations. Supplier warned.
QI000392,GR000392,2025-09-03,K. Nguyen,7.31,Missing,Conditional,Partial rework needed before use.
QI000393,GR000393,2025-09-12,M. Weber,4.54,Surface,Pass,
QI000394,GR000394,2025-09-18,P. Kumar,1.47,,Pass,
QI000395,GR000395,2025-09-09,D. Müller,2.72,Functional,Pass,
QI000396,GR000396,2025-09-23,A. Patel,4.83,Dimensional,Pass,
QI000397,GR000397,2025-09-22,T. Yamamoto,3.87,Dimensional,Pass,
QI000398,GR000398,2025-09-15,J. Smith,3.86,Functional,Pass,
QI000399,GR000399,2025-10-06,L. Chen,7.31,Surface,Conditional,Accepted with minor deviations. Supplier warned.
QI000400,GR000400,2025-09-26,T. Yamamoto,1.41,,Pass,
QI000401,GR000401,2025-10-05,R. Sharma,20.69,Dimensional,Fail,Batch rejected due to high defect rate.
QI000402,GR000402,2025-09-30,T. Yamamoto,7.38,Missing,Conditional,Partial rework needed before use.
QI000403,GR000403,2025-09-27,S. Tanaka,7.37,Missing,Conditional,Accepted for non-critical applications only.
QI000404,GR000404,2025-09-26,P. Kumar,7.92,Missing,Conditional,Accepted with minor deviations. Supplier warned.
QI000405,GR000405,2025-10-05,K. Nguyen,3.52,Functional,Pass,
QI000406,GR000406,2025-10-16,J. Smith,3.72,Surface,Pass,
QI000407,GR000407,2025-09-26,P. Kumar,23.18,Surface,Fail,Batch rejected due to high defect rate.
QI000408,GR000408,2025-10-05,J. Smith,7.16,Missing,Conditional,Accepted with minor deviations. Supplier warned.
QI000409,GR000409,2025-10-06,P. Kumar,3.84,Missing,Pass,
QI000410,GR000410,2025-10-16,J. Smith,3.72,Functional,Pass,
QI000411,GR000411,2025-10-01,M. Weber,1.93,,Pass,
QI000412,GR000412,2025-10-25,T. Yamamoto,5.99,Surface,Conditional,Accepted for non-critical applications only.
QI000413,GR000413,2025-10-07,S. Tanaka,4.24,Functional,Pass,
QI000414,GR000414,2025-10-13,D. Müller,1.99,,Pass,
QI000415,GR000415,2025-10-23,R. Sharma,3.1,Missing,Pass,
QI000416,GR000416,2025-10-19,D. Müller,3.36,Missing,Pass,
QI000417,GR000417,2025-10-14,T. Yamamoto,7.6,Surface,Conditional,Partial rework needed before use.
QI000418,GR000418,2025-11-07,K. Nguyen,2.91,Other,Pass,
QI000419,GR000419,2025-10-26,J. Smith,5.03,Surface,Conditional,Partial rework needed before use.
QI000420,GR000420,2025-10-31,T. Yamamoto,7.08,Missing,Conditional,Partial rework needed before use.
QI000421,GR000421,2025-11-24,A. Patel,5.29,Dimensional,Conditional,Accepted for non-critical applications only.
QI000422,GR000422,2025-11-10,R. Sharma,3.76,Dimensional,Pass,
QI000423,GR000423,2025-11-16,J. Smith,7.09,Dimensional,Conditional,Partial rework needed before use.
QI000424,GR000424,2025-11-11,A. Patel,2.05,Functional,Pass,
QI000425,GR000425,2025-11-29,J. Smith,7.36,Missing,Conditional,Partial rework needed before use.
QI000426,GR000426,2025-11-15,K. Nguyen,3.03,Other,Pass,
QI000427,GR000427,2025-11-24,D. Müller,2.06,Dimensional,Pass,
QI000428,GR000428,2025-11-24,P. Kumar,3.87,Other,Pass,
QI000429,GR000429,2025-11-18,K. Nguyen,2.97,Dimensional,Pass,
QI000430,GR000430,2025-12-09,P. Kumar,19.16,Surface,Fail,Non-conformance report raised. Supplier notified.
QI000431,GR000431,2025-12-03,J. Smith,2.19,Other,Pass,
QI000432,GR000432,2025-12-09,P. Kumar,5.09,Missing,Conditional,Accepted with minor deviations. Supplier warned.
QI000433,GR000433,2025-12-21,J. Smith,4.97,Dimensional,Pass,
QI000434,GR000434,2025-12-28,A. Patel,19.62,Missing,Fail,Quality below acceptable standards. Return to supplier.
QI000435,GR000435,2025-12-21,J. Smith,6.54,Surface,Conditional,Accepted for non-critical applications only.
QI000436,GR000436,2025-12-29,P. Kumar,6.55,Functional,Conditional,Accepted for non-critical applications only.
QI000437,GR000437,2026-01-02,S. Tanaka,7.24,Surface,Conditional,Partial rework needed before use.
QI000438,GR000438,2026-01-06,P. Kumar,2.96,Dimensional,Pass,
QI000439,GR000439,2026-01-06,S. Tanaka,2.17,Surface,Pass,
QI000440,GR000440,2026-01-06,P. Kumar,7.97,Dimensional,Conditional,Partial rework needed before use.
QI000441,GR000441,2026-01-03,T. Yamamoto,3.33,Surface,Pass,
QI000442,GR000442,2026-01-23,P. Kumar,24.88,Missing,Fail,Quality below acceptable standards. Return to supplier.
QI000443,GR000443,2026-01-19,J. Smith,18.43,Functional,Fail,Non-conformance report raised. Supplier notified.
QI000444,GR000444,2026-01-12,J. Smith,4.59,Missing,Pass,
QI000445,GR000445,2026-01-08,S. Tanaka,1.74,,Pass,
QI000446,GR000446,2026-01-10,P. Kumar,4.42,Dimensional,Pass,
QI000447,GR000447,2026-01-21,J. Smith,1.59,,Pass,
QI000448,GR000448,2026-02-10,M. Weber,28.75,Surface,Fail,Batch rejected due to high defect rate.
QI000449,GR000449,2026-01-24,M. Weber,3.61,Other,Pass,
QI000450,GR000450,2026-01-21,R. Sharma,3.03,Dimensional,Pass,
QI000451,GR000451,2026-02-03,A. Patel,0.75,,Pass,
QI000452,GR000452,2026-01-23,A. Patel,5.38,Functional,Conditional,Accepted for non-critical applications only.
